Model,AlgoVersion,Run,Warmup,Status,ErrorMsg,Timestamp,InitialStates,InitialTransitions,InitialLocalTransitions,LocalAlphabetSize,LocalControllableSize,TauLabelsSize,AllLocalTransitions,CtrlLocalTransitions,FinalStates,FinalTransitions,FinalLocalTransitions,Time_ms,GC_ms,MemBefore_MB,MemAfter_MB,MemPeak_MB,JVMHeapMax_MB,SCC_ms,Bvis_ms,InitSplit_ms,Phase1_ms,Phase2_ms,PartTotal_ms,MainLoopIters,BuildStates_ms,BuildTrans_ms,BuildTotal_ms
states_1025_iter_22_1776393521341.lts,v2,0,true,OK,,2026-06-08T20:56:12.337717431Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,1965.6257,21,33.4822,187.8745,232.3130,3970.0000,6.9035,4.9979,49.8429,305.6585,1499.9675,1874.7241,11986,0.9192,14.9101,15.8293
states_1025_iter_22_1776393521341.lts,v3c,0,true,OK,,2026-06-08T20:56:14.424521405Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,851.6964,19,39.5398,166.5706,279.0759,3970.0000,3.8195,4.5924,10.4321,146.1702,598.2952,768.0405,9002,0.5178,15.3133,15.8311
states_1025_iter_22_1776393521341.lts,v2,1,false,OK,,2026-06-08T20:56:15.379970490Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,1845.7813,20,40.2665,146.3366,293.9642,3970.0000,5.5008,4.6998,44.9798,269.7164,1445.2506,1776.0758,11996,0.6373,14.2561,14.8934
states_1025_iter_22_1776393521341.lts,v3c,1,false,OK,,2026-06-08T20:56:17.328857098Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,733.5415,18,40.9197,332.4473,310.4473,3970.0000,3.7245,4.6386,5.5200,110.1902,533.4281,658.5242,9002,0.7897,17.5067,18.2964
states_1025_iter_22_1776393521341.lts,v2,2,false,OK,,2026-06-08T20:56:18.165949828Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,1750.4241,23,41.5168,219.6406,317.3919,3970.0000,5.4315,4.7544,44.7794,257.2154,1361.5784,1678.7884,11970,0.5070,22.6573,23.1643
states_1025_iter_22_1776393521341.lts,v3c,2,false,OK,,2026-06-08T20:56:20.020642218Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,561.4321,16,42.2731,291.9334,235.9334,3970.0000,3.6874,4.7081,5.3312,100.2081,370.5580,485.2577,9002,0.7897,17.2882,18.0779
states_111_iter_18_1776392676327.lts,v2,0,true,OK,,2026-06-08T20:56:20.820382738Z,111,761,393,24,12,8,649,256,111,761,336,23.9912,0,24.1364,44.1364,24.1364,3970.0000,0.5106,0.3999,0.6405,5.6712,11.2316,18.7815,989,0.1100,1.2698,1.3797
states_111_iter_18_1776392676327.lts,v3c,0,true,OK,,2026-06-08T20:56:20.937545667Z,111,761,393,24,12,8,649,256,111,761,336,16.3177,0,24.7003,38.7003,24.7003,3970.0000,0.3929,0.4089,0.3942,5.9508,3.8465,11.0814,791,0.1003,1.2607,1.3610
states_111_iter_18_1776392676327.lts,v2,1,false,OK,,2026-06-08T20:56:21.059259433Z,111,761,393,24,12,8,649,256,111,761,336,22.5260,0,24.8114,44.8114,24.8114,3970.0000,0.4421,0.4063,0.6325,5.2804,10.5503,17.5753,984,0.1092,1.2635,1.3727
states_111_iter_18_1776392676327.lts,v3c,1,false,OK,,2026-06-08T20:56:21.180929747Z,111,761,393,24,12,8,649,256,111,761,336,16.2142,0,24.8526,38.8526,24.8526,3970.0000,0.3411,0.4003,0.3915,5.8313,3.7534,10.8101,791,0.0989,1.2560,1.3549
states_111_iter_18_1776392676327.lts,v2,2,false,OK,,2026-06-08T20:56:21.299098551Z,111,761,393,24,12,8,649,256,111,761,336,23.5420,0,24.8934,44.8934,24.8934,3970.0000,0.5502,0.4087,0.6358,5.5012,10.8725,18.2615,988,0.1083,1.3425,1.4508
states_111_iter_18_1776392676327.lts,v3c,2,false,OK,,2026-06-08T20:56:21.423528801Z,111,761,393,24,12,8,649,256,111,761,336,15.9542,0,24.9696,38.9696,24.9696,3970.0000,0.3508,0.4166,0.3871,5.7892,3.7214,10.7517,791,0.1011,1.2529,1.3540
states_111_iter_18_1776393281626.lts,v2,0,true,OK,,2026-06-08T20:56:21.631609837Z,111,761,393,24,12,8,649,256,111,761,336,22.6404,0,24.4639,44.4639,24.4639,3970.0000,0.4695,0.4008,0.6003,5.3727,10.5916,17.7011,988,0.1085,1.2719,1.3803
states_111_iter_18_1776393281626.lts,v3c,0,true,OK,,2026-06-08T20:56:21.755060423Z,111,761,393,24,12,8,649,256,111,761,336,16.2335,0,25.0280,39.0280,25.0280,3970.0000,0.3517,0.4426,0.3832,5.8697,3.7816,10.9176,791,0.1284,1.2743,1.4027
states_111_iter_18_1776393281626.lts,v2,1,false,OK,,2026-06-08T20:56:21.871134210Z,111,761,393,24,12,8,649,256,111,761,336,23.9876,0,25.0688,47.0688,25.0688,3970.0000,0.4709,0.4162,0.8284,6.0317,10.5269,18.7573,988,0.1080,1.3027,1.4107
states_111_iter_18_1776393281626.lts,v3c,1,false,OK,,2026-06-08T20:56:21.995840573Z,111,761,393,24,12,8,649,256,111,761,336,16.0603,0,25.1099,39.1099,25.1099,3970.0000,0.3413,0.4346,0.3940,5.8918,3.7681,10.9187,791,0.0982,1.2723,1.3705
states_111_iter_18_1776393281626.lts,v2,2,false,OK,,2026-06-08T20:56:22.112375441Z,111,761,393,24,12,8,649,256,111,761,336,22.7467,0,25.1507,47.1507,25.1507,3970.0000,0.4853,0.4051,0.6134,5.8807,10.0584,17.7110,984,0.1093,1.2985,1.4078
states_111_iter_18_1776393281626.lts,v3c,2,false,OK,,2026-06-08T20:56:22.235463712Z,111,761,393,24,12,8,649,256,111,761,336,15.9758,0,25.1915,39.1915,25.1915,3970.0000,0.3694,0.4128,0.3929,5.8564,3.7783,10.8984,791,0.1003,1.2740,1.3743
states_115_iter_16_1776392402545.lts,v2,0,true,OK,,2026-06-08T20:56:22.456827590Z,115,777,403,24,12,8,655,252,115,777,344,34.1807,0,24.7924,44.7924,24.7924,3970.0000,0.7833,0.8122,1.2433,9.2424,14.6422,27.1343,1016,0.1153,1.3292,1.4445
states_115_iter_16_1776392402545.lts,v3c,0,true,OK,,2026-06-08T20:56:22.597941310Z,115,777,403,24,12,8,655,252,115,777,344,16.1501,0,25.3687,39.3687,25.3687,3970.0000,0.3567,0.4360,0.5684,5.2780,3.6112,10.4807,795,0.0988,1.2978,1.3965
states_115_iter_16_1776392402545.lts,v2,1,false,OK,,2026-06-08T20:56:22.715884414Z,115,777,403,24,12,8,655,252,115,777,344,22.4882,0,25.4112,45.4112,25.4112,3970.0000,0.4556,0.4143,0.5931,5.9658,9.7351,17.4359,1016,0.1568,1.3211,1.4779
states_115_iter_16_1776392402545.lts,v3c,1,false,OK,,2026-06-08T20:56:22.838963660Z,115,777,403,24,12,8,655,252,115,777,344,15.2297,0,25.4532,39.4532,25.4532,3970.0000,0.4067,0.4281,0.4116,5.1910,3.4985,10.0181,795,0.0979,1.2963,1.3942
states_115_iter_16_1776392402545.lts,v2,2,false,OK,,2026-06-08T20:56:22.955314627Z,115,777,403,24,12,8,655,252,115,777,344,22.4892,0,25.5679,45.5679,25.5679,3970.0000,0.4659,0.4176,0.6241,5.9203,9.7061,17.4017,1016,0.1110,1.2890,1.4000
