Model,AlgoVersion,Run,Warmup,Status,ErrorMsg,Timestamp,InitialStates,InitialTransitions,InitialLocalTransitions,LocalAlphabetSize,LocalControllableSize,TauLabelsSize,AllLocalTransitions,CtrlLocalTransitions,FinalStates,FinalTransitions,FinalLocalTransitions,Time_ms,GC_ms,MemBefore_MB,MemAfter_MB,MemPeak_MB,JVMHeapMax_MB,SCC_ms,Bvis_ms,InitSplit_ms,Phase1_ms,Phase2_ms,PartTotal_ms,MainLoopIters,BuildStates_ms,BuildTrans_ms,BuildTotal_ms
states_1025_iter_22_1776393521341.lts,v3fix,0,true,OK,,2026-07-02T04:35:40.824112535Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,980.0916,22,33.4317,184.2140,232.1431,3970.0000,4.5132,5.3095,11.8791,175.9345,683.0908,887.0913,9953,2.7308,15.4744,18.2052
states_1025_iter_22_1776393521341.lts,v3fix,1,false,OK,,2026-07-02T04:35:41.927401025Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,646.9819,18,39.4389,220.3005,266.7129,3970.0000,3.8052,4.8538,5.3587,108.7304,438.2265,562.0678,9953,2.6929,14.5993,17.2922
states_1025_iter_22_1776393521341.lts,v3fix,2,false,OK,,2026-07-02T04:35:42.674768066Z,1025,7945,3855,23,8,10,5355,1500,1025,7945,3070,619.1687,19,40.1721,216.2653,296.8194,3970.0000,3.6003,4.6567,5.2063,112.0908,415.9688,542.3222,9953,2.7315,14.7044,17.4359
states_111_iter_18_1776392676327.lts,v3fix,0,true,OK,,2026-07-02T04:35:43.445537963Z,111,761,393,24,12,8,649,256,111,761,336,18.8696,0,22.1174,38.1174,22.1174,3970.0000,0.3736,0.4473,0.5531,5.9636,3.8451,11.4314,849,0.3360,1.3801,1.7161
states_111_iter_18_1776392676327.lts,v3fix,1,false,OK,,2026-07-02T04:35:43.555353246Z,111,761,393,24,12,8,649,256,111,761,336,17.4835,0,22.7213,38.7213,22.7213,3970.0000,0.3539,0.4240,0.3750,5.7490,3.6732,10.6609,849,0.3428,1.3374,1.6802
states_111_iter_18_1776392676327.lts,v3fix,2,false,OK,,2026-07-02T04:35:43.676016574Z,111,761,393,24,12,8,649,256,111,761,336,17.2409,0,22.7621,38.7621,22.7621,3970.0000,0.3468,0.4196,0.3748,5.8112,3.6793,10.7175,849,0.3450,1.3505,1.6954
states_111_iter_18_1776393281626.lts,v3fix,0,true,OK,,2026-07-02T04:35:43.830739028Z,111,761,393,24,12,8,649,256,111,761,336,17.8063,0,22.3627,36.3627,22.3627,3970.0000,0.3688,0.4257,0.3840,5.5139,3.7438,10.5227,849,0.3407,1.3911,1.7318
states_111_iter_18_1776393281626.lts,v3fix,1,false,OK,,2026-07-02T04:35:43.944740134Z,111,761,393,24,12,8,649,256,111,761,336,17.2811,0,22.9720,36.9720,22.9720,3970.0000,0.3536,0.4252,0.3737,5.4279,3.6820,10.3656,849,0.1609,1.3787,1.5396
states_111_iter_18_1776393281626.lts,v3fix,2,false,OK,,2026-07-02T04:35:44.062763479Z,111,761,393,24,12,8,649,256,111,761,336,17.0246,0,23.0129,37.0129,23.0129,3970.0000,0.3968,0.4289,0.3840,5.6079,3.7513,10.6663,849,0.1191,1.5008,1.6199
states_115_iter_16_1776392402545.lts,v3fix,0,true,OK,,2026-07-02T04:35:44.223996503Z,115,777,403,24,12,8,655,252,115,777,344,16.8016,0,22.5702,36.5702,22.5702,3970.0000,0.3574,0.4303,0.3813,4.9348,3.5346,9.7273,926,0.1161,1.3637,1.4797
states_115_iter_16_1776392402545.lts,v3fix,1,false,OK,,2026-07-02T04:35:44.337574900Z,115,777,403,24,12,8,655,252,115,777,344,15.8127,0,23.3965,37.3965,23.3965,3970.0000,0.3656,0.4310,0.4115,5.1199,3.5749,9.9933,926,0.1174,1.3561,1.4735
states_115_iter_16_1776392402545.lts,v3fix,2,false,OK,,2026-07-02T04:35:44.464588299Z,115,777,403,24,12,8,655,252,115,777,344,15.7119,0,23.4381,37.4381,23.4381,3970.0000,0.3695,0.4386,0.3729,4.9748,3.5515,9.7966,926,0.1477,1.3975,1.5451
states_115_iter_16_1776392669902.lts,v3fix,0,true,OK,,2026-07-02T04:35:44.618030640Z,115,777,403,24,12,8,655,252,115,777,344,15.8969,0,23.0285,37.0285,23.0285,3970.0000,0.5065,0.4832,0.3880,5.0756,3.6145,10.1599,926,0.1181,1.3259,1.4439
states_115_iter_16_1776392669902.lts,v3fix,1,false,OK,,2026-07-02T04:35:44.732493972Z,115,777,403,24,12,8,655,252,115,777,344,15.6317,0,23.6051,37.6051,23.6051,3970.0000,0.3688,0.4652,0.3910,5.0492,3.6159,9.9845,926,0.1026,1.3042,1.4068
states_115_iter_16_1776392669902.lts,v3fix,2,false,OK,,2026-07-02T04:35:44.848444826Z,115,777,403,24,12,8,655,252,115,777,344,15.2982,0,23.6468,37.6468,23.6468,3970.0000,0.3693,0.4398,0.3845,4.9597,3.5257,9.7693,926,0.1057,1.3038,1.4095
states_115_iter_16_1776393275334.lts,v3fix,0,true,OK,,2026-07-02T04:35:45.005813187Z,115,777,403,24,12,8,655,252,115,777,344,15.1333,0,23.2367,37.2367,23.2367,3970.0000,0.2444,0.3388,0.3691,4.8734,3.5439,9.4598,926,0.1046,1.4990,1.6036
states_115_iter_16_1776393275334.lts,v3fix,1,false,OK,,2026-07-02T04:35:45.124172523Z,115,777,403,24,12,8,655,252,115,777,344,15.0355,0,23.8484,37.8484,23.8484,3970.0000,0.3314,0.1915,0.3918,4.8641,3.5686,9.4464,926,0.1046,1.3121,1.4167
states_115_iter_16_1776393275334.lts,v3fix,2,false,OK,,2026-07-02T04:35:45.241009363Z,115,777,403,24,12,8,655,252,115,777,344,14.7527,0,23.8878,37.8878,23.8878,3970.0000,0.2373,0.1962,0.3967,4.7699,3.5629,9.2562,926,0.1056,1.3342,1.4398
states_125_iter_12_1776392401306.lts,v3fix,0,true,OK,,2026-07-02T04:35:45.386492572Z,125,525,225,9,0,6,225,0,125,525,150,17.3461,0,23.0687,33.0687,23.0687,3970.0000,0.2723,0.4640,0.4773,6.1061,4.1119,11.5891,743,0.1228,0.9072,1.0300
states_125_iter_12_1776392401306.lts,v3fix,1,false,OK,,2026-07-02T04:35:45.504617180Z,125,525,225,9,0,6,225,0,125,525,150,10.8604,0,23.5154,33.5154,23.5154,3970.0000,0.1677,0.1765,0.2553,3.5982,2.3791,6.6783,743,0.1094,0.9000,1.0094
states_125_iter_12_1776392401306.lts,v3fix,2,false,OK,,2026-07-02T04:35:45.611297527Z,125,525,225,9,0,6,225,0,125,525,150,11.0875,0,23.5445,33.5445,23.5445,3970.0000,0.1754,0.1720,0.2566,3.5847,2.3669,6.6516,743,0.1057,0.8879,0.9936
states_125_iter_12_1776392668675.lts,v3fix,0,true,OK,,2026-07-02T04:35:45.747388235Z,125,525,225,9,0,6,225,0,125,525,150,10.5696,0,23.2610,33.2610,23.2610,3970.0000,0.1767,0.1580,0.2575,3.5475,2.4077,6.6349,743,0.1169,0.8902,1.0071
states_125_iter_12_1776392668675.lts,v3fix,1,false,OK,,2026-07-02T04:35:45.856265627Z,125,525,225,9,0,6,225,0,125,525,150,11.2415,0,23.7419,33.7419,23.7419,3970.0000,0.1723,0.1809,0.2554,3.5120,2.3949,6.6072,743,0.1196,0.8843,1.0039
states_125_iter_12_1776392668675.lts,v3fix,2,false,OK,,2026-07-02T04:35:45.964890921Z,125,525,225,9,0,6,225,0,125,525,150,10.8484,0,23.7706,33.7706,23.7706,3970.0000,0.1647,0.1631,0.2620,3.5019,2.3649,6.5481,743,0.1146,1.1326,1.2471
states_125_iter_12_1776393274110.lts,v3fix,0,true,OK,,2026-07-02T04:35:46.100365409Z,125,525,225,9,0,6,225,0,125,525,150,10.7987,0,23.4872,33.4872,23.4872,3970.0000,0.2489,0.1815,0.2532,3.5274,2.3646,6.6706,743,0.1047,1.0630,1.1677
states_125_iter_12_1776393274110.lts,v3fix,1,false,OK,,2026-07-02T04:35:46.214619070Z,125,525,225,9,0,6,225,0,125,525,150,10.4496,0,23.9114,33.9114,23.9114,3970.0000,0.1619,0.1510,0.2578,3.4480,2.3342,6.4397,743,0.1038,1.0500,1.1538
states_125_iter_12_1776393274110.lts,v3fix,2,false,OK,,2026-07-02T04:35:46.321656047Z,125,525,225,9,0,6,225,0,125,525,150,10.6387,0,23.9396,33.9396,23.9396,3970.0000,0.1636,0.1547,0.2634,3.4725,2.3305,6.4715,743,0.1239,1.0385,1.1624
states_125_iter_14_1776392674963.lts,v3fix,0,true,OK,,2026-07-02T04:35:46.460629863Z,125,525,225,9,0,6,225,0,125,525,150,9.9276,0,23.6609,31.6609,23.6609,3970.0000,0.1658,0.1569,0.2528,3.2611,2.1075,6.0352,756,0.1611,0.8687,1.0298
states_125_iter_14_1776392674963.lts,v3fix,1,false,OK,,2026-07-02T04:35:46.567131377Z,125,525,225,9,0,6,225,0,125,525,150,9.7480,0,24.0848,34.0848,24.0848,3970.0000,0.1652,0.1535,0.2556,3.2570,2.1142,6.0363,756,0.0845,0.7844,0.8690
states_125_iter_14_1776392674963.lts,v3fix,2,false,OK,,2026-07-02T04:35:46.677306174Z,125,525,225,9,0,6,225,0,125,525,150,9.7996,0,24.1130,34.1130,24.1130,3970.0000,0.1618,0.1490,0.2562,3.2497,2.1166,6.0195,756,0.0817,0.7878,0.8695
states_125_iter_14_1776393280249.lts,v3fix,0,true,OK,,2026-07-02T04:35:46.812456695Z,125,525,225,9,0,6,225,0,125,525,150,9.9492,0,23.8018,33.8018,23.8018,3970.0000,0.1725,0.1526,0.2565,3.2767,2.1479,6.0930,756,0.0842,0.7928,0.8770
states_125_iter_14_1776393280249.lts,v3fix,1,false,OK,,2026-07-02T04:35:46.921423519Z,125,525,225,9,0,6,225,0,125,525,150,9.9694,0,24.2256,34.2256,24.2256,3970.0000,0.1773,0.1599,0.2553,3.3340,2.1337,6.1478,756,0.0869,0.7926,0.8795
states_125_iter_14_1776393280249.lts,v3fix,2,false,OK,,2026-07-02T04:35:47.031100321Z,125,525,225,9,0,6,225,0,125,525,150,9.8373,0,24.2538,34.2538,24.2538,3970.0000,0.1592,0.1552,0.2640,3.2335,2.1101,6.0199,756,0.0877,0.7783,0.8660
states_125_iter_16_1776393326855.lts,v3fix,0,true,OK,,2026-07-02T04:35:47.168249193Z,125,525,225,9,0,6,225,0,125,525,150,9.9617,0,23.9804,33.9804,23.9804,3970.0000,0.1948,0.1638,0.2732,3.1976,2.1689,6.0892,812,0.0855,0.8194,0.9049
states_125_iter_16_1776393326855.lts,v3fix,1,false,OK,,2026-07-02T04:35:47.278756136Z,125,525,225,9,0,6,225,0,125,525,150,14.6054,0,24.4043,34.4043,24.4043,3970.0000,0.2817,0.2416,0.4044,4.8917,3.3765,9.3337,812,0.1154,1.2209,1.3363
states_125_iter_16_1776393326855.lts,v3fix,2,false,OK,,2026-07-02T04:35:47.391800462Z,125,525,225,9,0,6,225,0,125,525,150,9.8737,0,24.4325,34.4325,24.4325,3970.0000,0.2101,0.1660,0.2562,3.1976,2.1434,6.0629,812,0.0850,0.7862,0.8712
states_125_iter_18_1776393509366.lts,v3fix,0,true,OK,,2026-07-02T04:35:47.539774961Z,125,525,225,9,0,6,225,0,125,525,150,10.5066,0,24.1686,34.1686,24.1686,3970.0000,0.1670,0.1551,0.2521,3.7002,2.4335,6.7961,766,0.0844,0.7796,0.8641
states_125_iter_18_1776393509366.lts,v3fix,1,false,OK,,2026-07-02T04:35:47.650122349Z,125,525,225,9,0,6,225,0,125,525,150,10.7510,0,24.5924,34.5924,24.5924,3970.0000,0.2712,0.1687,0.4027,3.6823,2.4595,7.0774,766,0.0881,0.7857,0.8738
states_125_iter_18_1776393509366.lts,v3fix,2,false,OK,,2026-07-02T04:35:47.761543585Z,125,525,225,9,0,6,225,0,125,525,150,10.9357,0,24.6223,34.6223,24.6223,3970.0000,0.2762,0.2247,0.2605,3.7300,2.4611,7.0465,766,0.0930,0.8236,0.9166
states_125_iter_20_1776394224313.lts,v3fix,0,true,OK,,2026-07-02T04:35:47.900491924Z,125,525,225,9,0,6,225,0,125,525,150,10.4079,0,24.3585,34.3585,24.3585,3970.0000,0.1667,0.1588,0.2624,3.5387,2.3364,6.5490,782,0.0873,0.8571,0.9444
states_125_iter_20_1776394224313.lts,v3fix,1,false,OK,,2026-07-02T04:35:48.014526400Z,125,525,225,9,0,6,225,0,125,525,150,10.0985,0,24.7824,34.7824,24.7824,3970.0000,0.1743,0.1507,0.2636,3.4661,2.2755,6.4204,782,0.0874,0.7953,0.8828
states_125_iter_20_1776394224313.lts,v3fix,2,false,OK,,2026-07-02T04:35:48.130558466Z,125,525,225,9,0,6,225,0,125,525,150,12.2914,0,24.8106,34.8106,24.8106,3970.0000,0.2249,0.1939,0.2590,3.5368,2.2912,6.5960,782,0.0893,0.7925,0.8817
states_1287_iter_23_1776393351862.lts,v3fix,0,true,OK,,2026-07-02T04:35:51.949265815Z,1287,13297,6751,34,16,12,10715,3964,1287,13297,5692,1293.5543,43,49.9276,395.5775,363.3459,3970.0000,3.3055,3.7691,7.3193,155.2782,1007.7381,1178.4751,15725,0.7183,29.0783,29.7966
states_1287_iter_23_1776393351862.lts,v3fix,1,false,OK,,2026-07-02T04:35:53.369934118Z,1287,13297,6751,34,16,12,10715,3964,1287,13297,5692,1253.7208,31,59.6675,101.4422,423.7316,3970.0000,3.8458,3.8243,7.1717,161.8065,945.9173,1123.6098,15725,0.3994,27.0506,27.4500
states_1287_iter_23_1776393351862.lts,v3fix,2,false,OK,,2026-07-02T04:35:54.745041739Z,1287,13297,6751,34,16,12,10715,3964,1287,13297,5692,1258.5908,30,60.6496,103.4755,441.0612,3970.0000,3.8041,3.7602,6.8082,145.9407,988.4705,1149.8477,15725,0.4280,25.9990,26.4270
states_1287_iter_27_1776394333909.lts,v3fix,0,true,OK,,2026-07-02T04:36:00.463732449Z,1287,13297,6751,34,16,12,10715,3964,1287,13297,5692,1258.0388,27,54.9462,343.9177,423.0744,3970.0000,3.9754,3.9176,6.9202,176.2596,962.7585,1154.8934,15339,0.3894,20.6867,21.0761
states_1287_iter_27_1776394333909.lts,v3fix,1,false,OK,,2026-07-02T04:36:01.848486336Z,1287,13297,6751,34,16,12,10715,3964,1287,13297,5692,1297.2137,28,64.6404,188.2803,467.0240,3970.0000,4.0724,3.7641,6.3756,168.9656,976.4713,1160.6906,15339,0.3855,30.7884,31.1739
states_1287_iter_27_1776394333909.lts,v3fix,2,false,OK,,2026-07-02T04:36:03.269192647Z,1287,13297,6751,34,16,12,10715,3964,1287,13297,5692,1306.6618,26,67.6320,371.1644,492.7446,3970.0000,3.1609,3.7442,6.2140,167.3614,1002.1499,1183.6541,15339,0.3886,30.1503,30.5389
states_1355_iter_25_1776393594007.lts,v3fix,0,true,OK,,2026-07-02T04:36:09.248592700Z,1355,14007,7133,34,16,12,11513,4380,1355,14007,5992,1369.2931,31,63.2725,323.6733,428.6530,3970.0000,3.3115,4.4265,6.7551,165.5145,1081.7578,1262.9051,16328,0.3940,19.4780,19.8720
states_1355_iter_25_1776393594007.lts,v3fix,1,false,OK,,2026-07-02T04:36:10.759163156Z,1355,14007,7133,34,16,12,11513,4380,1355,14007,5992,1425.9547,27,73.4751,234.2934,545.3353,3970.0000,3.1627,3.8854,6.6650,157.6430,1123.4718,1295.9221,16328,0.3316,19.4198,19.7514
states_1355_iter_25_1776393594007.lts,v3fix,2,false,OK,,2026-07-02T04:36:12.323296603Z,1355,14007,7133,34,16,12,11513,4380,1355,14007,5992,1420.1125,27,74.5654,521.3694,574.7127,3970.0000,2.9458,3.8293,6.5628,166.5129,1132.2434,1313.1906,16328,0.3285,19.5626,19.8911
states_1393_iter_26_1776393386650.lts,v3fix,0,true,OK,,2026-07-02T04:36:20.160548644Z,1393,18861,9955,45,24,14,17567,7612,1393,18861,8626,2225.1978,37,75.7259,265.9920,578.7944,3970.0000,3.8263,4.1075,7.3508,240.1673,1790.5991,2047.2681,20646,0.3437,27.7463,28.0899
states_1393_iter_26_1776393386650.lts,v3fix,1,false,OK,,2026-07-02T04:36:22.540601740Z,1393,18861,9955,45,24,14,17567,7612,1393,18861,8626,2207.5883,37,89.2694,216.9544,626.1431,3970.0000,3.8422,3.9847,8.0478,235.4015,1754.9654,2007.5307,20646,0.3552,27.5013,27.8565
states_1393_iter_26_1776393386650.lts,v3fix,2,false,OK,,2026-07-02T04:36:24.908015587Z,1393,18861,9955,45,24,14,17567,7612,1393,18861,8626,2215.5340,36,90.5572,536.0429,626.3684,3970.0000,4.1992,4.3910,8.5668,249.4039,1786.8678,2054.5913,20646,0.3453,26.3393,26.6847
states_155_iter_13_1776392399823.lts,v3fix,0,true,OK,,2026-07-02T04:36:27.330923299Z,155,1057,513,20,8,8,773,260,155,1057,412,20.1728,0,50.7758,72.7758,50.7758,3970.0000,0.2274,0.2151,0.3630,6.5523,5.9714,13.4507,1353,0.1325,1.9363,2.0689
