Model,AlgoVersion,Run,Warmup,Status,ErrorMsg,Timestamp,InitialStates,InitialTransitions,InitialLocalTransitions,LocalAlphabetSize,LocalControllableSize,TauLabelsSize,AllLocalTransitions,CtrlLocalTransitions,FinalStatesBB,FinalTransitionsBB,FinalLocalTransitionsBB,TimeBB_ms,BB_GC_ms,MemBeforeBB_MB,MemAfterBB_MB,MemPeakBB_MB,FinalStatesWSOE,FinalTransitionsWSOE,FinalLocalTransitionsWSOE,TimeWSOE_ms,WSOE_GC_ms,MemBeforeWSOE_MB,MemAfterWSOE_MB,MemPeakWSOE_MB,EqualsWSOE,JVMHeapMax_MB,BB_SCC_ms,BB_Bvis_ms,BB_InitSplit_ms,BB_Phase1_ms,BB_Phase2_ms,BB_PartTotal_ms,BB_MainLoopIters,BB_BuildStates_ms,BB_BuildTrans_ms,BB_BuildTotal_ms
states_1025_iter_22_1776393521341.lts,v0,0,true,OK,,2026-06-03T22:27:45.992212758Z,1025,7945,3855,23,8,15,5355,1500,432,3960,1816,1041.2883,22,33.5225,63.8338,107.5807,775,6370,3030,1819.4320,17,39.4257,122.8821,129.4257,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,965.4348,-1,1.2689,11.0152,12.2841
states_1025_iter_22_1776393521341.lts,v0,1,false,OK,,2026-06-03T22:27:49.069645494Z,1025,7945,3855,23,8,15,5355,1500,432,3960,1816,995.2588,17,40.1384,182.8935,138.8935,775,6370,3030,1247.6332,14,40.7234,121.4901,118.7234,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,927.5548,-1,0.6216,13.7793,14.4009
states_1025_iter_22_1776393521341.lts,v0,2,false,OK,,2026-06-03T22:27:51.526791592Z,1025,7945,3855,23,8,15,5355,1500,432,3960,1816,1015.9272,17,41.3081,245.7554,237.7554,775,6370,3030,1232.8826,19,42.1442,66.2056,121.4634,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,942.1710,-1,0.7220,11.6796,12.4016
states_111_iter_18_1776392676327.lts,v0,0,true,OK,,2026-06-03T22:27:54.093200216Z,111,761,393,24,12,12,649,256,60,491,229,20.0750,0,24.1676,36.1676,24.1676,75,567,289,70.2311,0,24.7754,44.7754,24.7754,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,15.3790,-1,0.0950,1.0579,1.1529
states_111_iter_18_1776392676327.lts,v0,1,false,OK,,2026-06-03T22:27:54.393977634Z,111,761,393,24,12,12,649,256,60,491,229,40.4280,0,24.8153,36.8153,24.8153,75,567,289,58.1735,0,24.8568,46.8568,24.8568,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,30.8720,-1,0.1442,1.4800,1.6242
states_111_iter_18_1776392676327.lts,v0,2,false,OK,,2026-06-03T22:27:54.696102936Z,111,761,393,24,12,12,649,256,60,491,229,29.8457,0,24.8971,36.8971,24.8971,75,567,289,57.9077,0,24.9386,46.9386,24.9386,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,23.2197,-1,0.1677,1.7342,1.9019
states_111_iter_18_1776393281626.lts,v0,0,true,OK,,2026-06-03T22:27:55.093099668Z,111,761,393,24,12,12,649,256,60,491,229,21.7809,0,24.5380,36.5380,24.5380,75,567,289,58.3179,0,25.1025,45.1025,25.1025,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,15.5669,-1,0.0983,1.0769,1.1752
states_111_iter_18_1776393281626.lts,v0,1,false,OK,,2026-06-03T22:27:55.359239640Z,111,761,393,24,12,12,649,256,60,491,229,23.7000,0,25.1424,37.1424,25.1424,75,567,289,58.1152,0,25.1839,47.1839,25.1839,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,18.4457,-1,0.1200,1.3897,1.5097
states_111_iter_18_1776393281626.lts,v0,2,false,OK,,2026-06-03T22:27:55.642996696Z,111,761,393,24,12,12,649,256,60,491,229,17.8797,0,25.2245,37.2245,25.2245,75,567,289,55.6932,0,25.2659,47.2659,25.2659,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,13.3752,-1,0.1098,1.0493,1.1591
states_115_iter_16_1776392402545.lts,v0,0,true,OK,,2026-06-03T22:27:56.015602227Z,115,777,403,24,12,12,655,252,63,501,237,16.4391,0,24.8645,34.8645,24.8645,75,567,289,43.7504,0,25.5004,41.5004,25.5004,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,11.7238,-1,0.1113,1.0374,1.1487
states_115_iter_16_1776392402545.lts,v0,1,false,OK,,2026-06-03T22:27:56.273894757Z,115,777,403,24,12,12,655,252,63,501,237,16.0645,0,25.5425,35.5425,25.5425,75,567,289,43.8846,0,25.5848,41.5848,25.5848,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,11.6235,-1,0.1000,1.0398,1.1398
states_115_iter_16_1776392402545.lts,v0,2,false,OK,,2026-06-03T22:27:56.532960528Z,115,777,403,24,12,12,655,252,63,501,237,16.1808,0,25.6263,35.6263,25.6263,75,567,289,43.6833,0,25.6685,41.6685,25.6685,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,11.6268,-1,0.1027,1.0444,1.1471
states_115_iter_16_1776392669902.lts,v0,0,true,OK,,2026-06-03T22:27:56.884305086Z,115,777,403,24,12,12,655,252,63,501,237,16.8435,0,25.1982,35.1982,25.1982,75,567,289,52.9807,0,25.8058,41.8058,25.8058,false,3970.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,11.8396,-1,0.0965,1.6374,1.7339
