Model,WSOE_estados,v3c_estados,delta_estados,WSOE_transiciones,v3c_transiciones,delta_transiciones,WSOE_locales,v3c_locales,categoria
states_1020_iter_15_1776460545633.lts,1020,1020,0,6928,6928,0,2536,1856,iguales_estados_distintas_transiciones
states_105_iter_16_1776622199491.lts,105,105,0,520,520,0,136,68,iguales_estados_distintas_transiciones
states_108_iter_14_1776460544230.lts,60,60,0,295,295,0,121,81,iguales_estados_distintas_transiciones
states_108_iter_20_1776464161375.lts,60,60,0,295,295,0,121,81,iguales_estados_distintas_transiciones
states_108_iter_22_1776465962702.lts,108,108,0,591,591,0,153,81,iguales_estados_distintas_transiciones
states_108_iter_9_1776460537140.lts,33,33,0,100,100,0,49,27,iguales_estados_distintas_transiciones
states_120_iter_28_1776396152520.lts,112,112,0,800,801,1,0,0,iguales_estados_distintas_transiciones
states_120_iter_28_1776621259895.lts,112,112,0,800,801,1,0,0,iguales_estados_distintas_transiciones
states_125_iter_12_1776392401306.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_12_1776392668675.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_12_1776393274110.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_14_1776392674963.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_14_1776393280249.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_14_1776618345966.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_14_1776618378935.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_16_1776393326855.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_16_1776618428562.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_18_1776393509366.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_18_1776618691342.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_20_1776394224313.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_125_iter_20_1776619326001.lts,125,125,0,525,525,0,225,150,iguales_estados_distintas_transiciones
states_126_iter_11_1776460543348.lts,126,126,0,590,590,0,192,108,iguales_estados_distintas_transiciones
states_126_iter_15_1776462358474.lts,126,126,0,590,590,0,192,108,iguales_estados_distintas_transiciones
states_126_iter_21_1776466177155.lts,126,126,0,590,590,0,192,108,iguales_estados_distintas_transiciones
states_126_iter_23_1776466181112.lts,126,126,0,590,590,0,192,108,iguales_estados_distintas_transiciones
states_12_iter_12_1776460544915.lts,12,12,0,24,24,0,8,0,iguales_estados_distintas_transiciones
states_12_iter_14_1776462346125.lts,12,12,0,24,24,0,8,0,iguales_estados_distintas_transiciones
states_12_iter_16_1776462360780.lts,12,12,0,24,24,0,8,0,iguales_estados_distintas_transiciones
states_12_iter_18_1776464162173.lts,12,12,0,24,24,0,8,0,iguales_estados_distintas_transiciones
states_12_iter_20_1776466164846.lts,12,12,0,24,24,0,8,0,iguales_estados_distintas_transiciones
states_12_iter_22_1776466179286.lts,12,12,0,24,24,0,8,0,iguales_estados_distintas_transiciones
states_12_iter_8_1776460535759.lts,12,12,0,24,24,0,8,0,iguales_estados_distintas_transiciones
states_132_iter_13_1776440090077.lts,132,132,0,442,442,0,176,66,iguales_estados_distintas_transiciones
states_144_iter_24_1776466178294.lts,144,144,0,920,920,0,312,216,iguales_estados_distintas_transiciones
states_155_iter_13_1776392399823.lts,155,155,0,1057,1057,0,513,412,iguales_estados_distintas_transiciones
states_155_iter_13_1776392603799.lts,155,155,0,1057,1057,0,513,412,iguales_estados_distintas_transiciones
states_155_iter_13_1776392667152.lts,155,155,0,1057,1057,0,513,412,iguales_estados_distintas_transiciones
states_155_iter_13_1776393272492.lts,155,155,0,1057,1057,0,513,412,iguales_estados_distintas_transiciones
states_15_iter_10_1776460542571.lts,15,15,0,31,31,0,10,0,iguales_estados_distintas_transiciones
