Model,AlgoVersion,Run,Warmup,Status,ErrorMsg,Timestamp,InitialStates,InitialTransitions,InitialLocalTransitions,LocalAlphabetSize,LocalControllableSize,TauLabelsSize,AllLocalTransitions,CtrlLocalTransitions,FinalStatesBB,FinalTransitionsBB,FinalLocalTransitionsBB,TimeBB_ms,BB_GC_ms,MemBeforeBB_MB,MemAfterBB_MB,MemPeakBB_MB,FinalStatesWSOE,FinalTransitionsWSOE,FinalLocalTransitionsWSOE,TimeWSOE_ms,WSOE_GC_ms,MemBeforeWSOE_MB,MemAfterWSOE_MB,MemPeakWSOE_MB,EqualsWSOE,JVMHeapMax_MB,BB_SCC_ms,BB_Bvis_ms,BB_InitSplit_ms,BB_Phase1_ms,BB_Phase2_ms,BB_PartTotal_ms,BB_MainLoopIters,BB_BuildStates_ms,BB_BuildTrans_ms,BB_BuildTotal_ms
states_17_iter_10_1776392399382.lts,v3C,0,true,OK,,2026-05-08T02:56:03.992605Z,17,48,20,10,4,4,32,8,13,45,18,12.9516,0,13.3811,17.3811,13.3811,13,42,16,20.1528,0,10.1571,10.1571,10.1571,false,4096.0000,0.1552,0.3677,1.2226,3.7638,1.3060,7.4748,39,1.6465,0.3345,1.9811
states_17_iter_10_1776392399382.lts,v3C,1,false,OK,,2026-05-08T02:56:04.169084Z,17,48,20,10,4,4,32,8,13,45,18,3.8048,0,10.2702,10.2702,10.2702,13,42,16,5.0310,0,10.2754,10.2754,10.2754,false,4096.0000,0.0716,0.0655,0.1188,0.9255,0.3558,1.5858,39,0.1010,0.1387,0.2396
states_17_iter_10_1776392399382.lts,v3C,2,false,OK,,2026-05-08T02:56:04.319484Z,17,48,20,10,4,4,32,8,13,45,18,3.0454,0,10.2778,10.2778,10.2778,13,42,16,3.5935,0,10.2821,10.2821,10.2821,false,4096.0000,0.0670,0.0540,0.0959,0.7590,0.2922,1.3069,39,0.0756,0.1341,0.2097
states_17_iter_10_1776392399382.lts,v3C,3,false,OK,,2026-05-08T02:56:04.477705Z,17,48,20,10,4,4,32,8,13,45,18,2.4164,0,10.2838,10.2838,10.2838,13,42,16,3.2933,0,10.2898,10.2898,10.2898,false,4096.0000,0.0536,0.0403,0.1661,0.5515,0.2221,1.0598,39,0.0657,0.1077,0.1734
states_17_iter_10_1776392399382.lts,v3C,4,false,OK,,2026-05-08T02:56:04.632572Z,17,48,20,10,4,4,32,8,13,45,18,3.0754,0,10.2915,10.2915,10.2915,13,42,16,3.6138,0,10.2952,10.2952,10.2952,false,4096.0000,0.0696,0.0565,0.1044,0.7809,0.3568,1.4009,39,0.0743,0.1369,0.2113
states_17_iter_10_1776392399382.lts,v3C,5,false,OK,,2026-05-08T02:56:04.791202Z,17,48,20,10,4,4,32,8,13,45,18,2.8630,0,10.2971,10.2971,10.2971,13,42,16,3.4283,0,10.3008,10.3008,10.3008,false,4096.0000,0.0761,0.0590,0.1005,0.8655,0.3366,1.4780,39,0.0759,0.1183,0.1942
states_17_iter_10_1776392399382.lts,v3C,6,false,OK,,2026-05-08T02:56:04.951277Z,17,48,20,10,4,4,32,8,13,45,18,1.8803,0,10.3041,10.3041,10.3041,13,42,16,2.4958,0,10.3081,10.3081,10.3081,false,4096.0000,0.0495,0.0383,0.0666,0.4607,0.1943,0.8325,39,0.0475,0.0738,0.1213
states_17_iter_10_1776392399382.lts,v3C,7,false,OK,,2026-05-08T02:56:05.105911Z,17,48,20,10,4,4,32,8,13,45,18,2.3429,0,10.3103,10.3103,10.3103,13,42,16,2.9253,0,10.3183,10.3183,10.3183,false,4096.0000,0.0631,0.0499,0.0857,0.5242,0.2305,0.9827,39,0.0664,0.0915,0.1579
states_17_iter_10_1776392399382.lts,v3C,8,false,OK,,2026-05-08T02:56:05.257263Z,17,48,20,10,4,4,32,8,13,45,18,2.2065,0,10.3199,10.3199,10.3199,13,42,16,3.1663,0,10.3236,10.3236,10.3236,false,4096.0000,0.0574,0.0504,0.0854,0.6487,0.2508,1.1285,39,0.0647,0.0886,0.1533
states_17_iter_10_1776392399382.lts,v3C,9,false,OK,,2026-05-08T02:56:05.418604Z,17,48,20,10,4,4,32,8,13,45,18,3.0157,0,10.3252,10.3252,10.3252,13,42,16,3.0221,0,10.3289,10.3289,10.3289,false,4096.0000,0.0572,0.0533,0.0888,1.5352,0.2492,2.0168,39,0.0590,0.0903,0.1493
